pcode,name,category,LawModifiedDate,LawEffectiveDate,discarded
R0030008,僑居國外國民回國應公務人員考試獎勵辦法,"廢止法規,考選部",19960305,,true
R0030009,特種考試公務人員甲等考試規則,"廢止法規,考選部",19950428,,true
R0030010,特種考試公務人員甲等考試口試辦法,"廢止法規,考選部",19950428,,true
R0030011,軍法官考試規則,"考試,考選部,公務人員考試目",20040129,,
R0030012,特種考試軍法官考試錄取人員訓練辦法,"廢止法規,考選部",19970725,,true
R0030013,公務人員特種考試警察人員考試規則,"考試,考選部,公務人員考試目",20240118,,
R0030014,特種考試警察人員考試應考人體格檢查標準,"廢止法規,考選部",19960603,,true
R0030015,特種考試警察人員考試錄取人員訓練辦法,"廢止法規,考選部",19970725,,true
R0030016,公務人員考試錄取人員訓練辦法,"考試,公務人員保障暨培訓委員會,培訓目    ",20201103,,
R0030017,特種考試中央銀行行員考試錄取人員實習辦法,"廢止法規,考選部",20100317,,true
R0030018,公務人員高等考試三級考試暨普通考試規則,"考試,考選部,公務人員考試目",20240104,,
R0030019,特種考試司法人員考試丙等司法人員監所管理員應考人體格檢查標準,"廢止法規,考選部",19960409,,true
R0030020,公務人員特種考試法務部調查局調查人員考試規則,"考試,考選部,公務人員考試目",20220316,,
R0030021,特種考試交通事業人員考試規則,"考試,考選部,公務人員考試目",20220316,,
R0030022,公務人員特種考試關務人員考試規則,"考試,考選部,公務人員考試目",20230323,20240101,
R0030023,雇員考試規則,"廢止法規,考選部",20031111,,true
R0030024,公務人員特種考試外交領事人員及外交行政人員考試規則,"考試,考選部,公務人員考試目",20220316,,
R0030025,特種考試外交領事人員、外交行政人員暨國際新聞人員考試體格檢查標準,"廢止法規,考選部",19960617,,true
R0030026,特種考試外交領事人員、外交行政人員暨國際新聞人員考試錄取人員訓練辦法,"廢止法規,考選部",19970725,,true
R0030027,特種考試交通事業鐵路人員考試錄取人員學習辦法,"廢止法規,考選部",19970725,,true
R0030028,特種考試交通事業民航人員考試錄取人員訓練學習辦法,"廢止法規,考選部",19970725,,true
R0030029,公務人員特種考試國際經濟商務人員考試規則,"考試,考選部,公務人員考試目",20231228,,
R0030030,特種考試國際經濟商務人員考試體格檢查標準,"廢止法規,考選部",19980629,,true
R0030031,特種考試國際經濟商務人員考試錄取人員訓練辦法,"廢止法規,考選部",19970725,,true
R0030032,特種考試交通事業公路人員考試錄取人員學習辦法,"廢止法規,考選部",19970725,,true
R0030033,公務人員初等考試規則,"考試,考選部,公務人員考試目",20230525,20240601,
R0030034,特種考試退除役軍人轉任公務人員考試丙等監所管理員考試應考人體格檢查標準,"廢止法規,考選部",19970326,,true
R0030035,公務人員升官等考試法,"考試,考選部,公務人員考試目",20150107,,
R0030036,公務人員升官等考試法施行細則,"考試,考選部,公務人員考試目",20150615,,
R0030037,交通事業人員升資考試規則,"考試,考選部,公務人員考試目",20220516,,
R0030038,行政院所屬金融保險事業機構雇員升等考試規則,"廢止法規,考選部",20020828,,true
R0030039,臺灣地區省（市）營事業機構人員升等考試規則,"廢止法規,考選部",20040706,,true
R0030040,警監警察官升等考試口試辦法,"廢止法規,考選部",20100317,,true
R0030041,公立學校職員升等考試規則,"廢止法規,考選部",19961018,,true
R0030042,臺灣省政府交通事業機構現職差工晉升士級人員考試辦法,"廢止法規,考選部",20000201,,true
R0030043,警察人員升官等考試規則,"考試,考選部,公務人員考試目",20220516,,
R0030044,口試規則,"考試,考選部,一般性考試目",20190909,,
R0030045,實地測驗規則,"考試,考選部,一般性考試目",20160502,,
R0030046,後備軍人轉任公職考試應考人體格檢驗標準,"廢止法規,考選部",20020827,,true
R0030047,國軍上校以上軍官外職停役轉任公務人員檢覈規則,"廢止法規,考選部",20060322,,true
R0030048,國軍上校以上軍官外職停役轉任公務人員檢覈筆試、口試、審查知能有關學歷、經歷證明及論文或實地考試辦法,"廢止法規,考選部",20060322,,true
R0030049,國軍退除役官兵參加公務人員考試及轉任公務人員優待辦法,"考試,考選部,公務人員考試目",19870819,,
R0030050,特種考試政風人員考試規則,"廢止法規,考選部",20031226,,true
R0030051,特種考試法務部調查局調查人員考試體格檢查標準,"廢止法規,考選部",19960409,,true
